selection_rank,bank_index,bank_batch_index,bank_batch_member,bank_batch_size,name,replicate,state_idx,basis_layer,certificate,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
170,169,169,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_smooth,8.044732093811035,-0.9573615193367004,,47,40,27,27,47,27,47,0.042129618794412516,1.8883460597576018e-28,1.0,0.17786442154626245,0.20588300194137626,0.3041162661752699,1.7098206798832412,0.6769877998657287,0.3710029622940421,0.32658409120216303,,,
170,169,169,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_smooth,8.044732093811035,-0.9573615193367004,,47,40,27,27,47,27,47,0.042129618794412516,1.8883460597576018e-28,1.0,0.17786442154626245,0.20588300194137626,0.21771785032340948,1.2240663333941757,0.9456413501949743,0.1873176145013582,0.1538089064722205,,,
171,170,170,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,11.391273498535156,-0.3481810688972473,,47,40,31,31,47,31,47,0.04661417870138742,1.3339207180602306e-27,1.0,0.35183966017386703,0.38957793187562106,0.38957793187562106,1.1072598571835395,1.0,0.09961045610954465,0.0,0.17370337462395397,0.2024482500354098,0.0
171,170,170,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_step,11.391273498535156,-0.3481810688972473,,47,40,31,31,47,31,47,0.04661417870138742,1.3339207180602306e-27,1.0,0.35183966017386703,0.38957793187562106,0.45410265022797275,1.2906522533689662,0.8579071971503395,0.2550191217933387,0.23487655713466765,0.5671051112567164,0.5639875739996113,0.5470083233159604
171,170,170,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,11.391273498535156,-0.3481810688972473,,47,40,31,31,47,31,47,0.04661417870138742,1.3339207180602306e-27,1.0,0.35183966017386703,0.38957793187562106,1.0471330893128517,2.976165588596222,0.37204242311860225,0.7308176560447526,0.7226703987439899,0.8581655541136652,0.8586262365660176,0.8675334991887546
171,170,170,0,1,zero_context,zero_context,1,8,certified,fixed_target_rich,minimal_step,11.391273498535156,-0.3481810688972473,,47,40,31,31,47,31,47,0.04661417870138742,1.3339207180602306e-27,1.0,0.35183966017386703,0.38957793187562106,1.4506733580476667,4.123109251898419,0.2685497253495574,0.9364603753650502,0.93627168214352,,,
171,170,170,0,1,keep_response_svd,keep_response_svd,1,8,certified,fixed_target_rich,minimal_step,11.391273498535156,-0.3481810688972473,,47,40,31,31,47,31,47,0.04661417870138742,1.3339207180602306e-27,1.0,0.35183966017386703,0.38957793187562106,0.4508744683441475,1.2814771027272505,0.8640496617747282,0.3453341479901841,0.3314421999423702,,,
171,170,170,0,1,keep_krr_oracle,keep_krr_oracle,1,8,certified,fixed_target_rich,minimal_step,11.391273498535156,-0.3481810688972473,,47,40,31,31,47,31,47,0.04661417870138742,1.3339207180602306e-27,1.0,0.35183966017386703,0.38957793187562106,0.45410265022797275,1.2906522533689662,0.8579071971503395,0.2550191217933387,0.23487655713466765,,,
172,171,171,0,1,base,base,1,8,certified,fixed_target_rich,minimal_step,1.1328511238098145,-1.895939588546753,,47,40,12,12,47,12,47,0.0494495185646306,2.631716119877387e-29,1.0,0.02464483603057525,0.026103982701394596,0.026103982701394596,1.059206994479861,1.0,0.2723957523825904,0.0,0.17408784538092753,0.20442576040021682,0.0
172,171,171,0,1,keep_Q,keep_Q,1,8,certified,fixed_target_rich,minimal_step,1.1328511238098145,-1.895939588546753,,47,40,12,12,47,12,47,0.0494495185646306,2.631716119877387e-29,1.0,0.02464483603057525,0.026103982701394596,0.027575783201757454,1.118927436463605,0.9466270644211818,0.23325011206224341,0.4525536727266626,0.21655679166521322,0.16842549821344827,0.21280208940153547
172,171,171,0,1,remove_Q,remove_Q,1,8,certified,fixed_target_rich,minimal_step,1.1328511238098145,-1.895939588546753,,47,40,12,12,47,12,47,0.0494495185646306,2.631716119877387e-29,1.0,0.02464483603057525,0.026103982701394596,0.037856817519746865,1.5360953293736817,0.6895450915222402,0.8880472075360579,0.8649716089285686,0.8781835118055064,0.8792364461652391,0.7338663957246369
