checkpoint,episode,basis,rank,selected_rank,r_eff_T_task,r_eff_T_task_strict,excess_risk_frac,kernel_lengthscale,kernel_signal_var,point_model_to_T,point_operator_to_T,point_model_to_operator,E_model_to_T,E_model_to_operator,E_operator_to_T,E_model_to_zero,E_zero_to_T,R_use,R_sub,X_use,X_sub,cos_res,rank_tau_task,krr_risk_total,krr_signal_total,krr_risk_per_tgt,krr_signal_per_tgt,krr_risk_over_signal
rbf_elbow_scratch_nctx47_ntgt64,15,raw,21,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.009470311245124546,0.02442543089193484,0.030371766679772115,0.06952128215156032,0.06990135678701105,0.998252788774966,0.9999999999999998,0.06964296311839577,0.06990135678694116,0.9951498576880897,0.9951138003193447,-0.9051060075744309,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,22,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.009456561476624239,0.02441143325706415,0.030371766679772115,0.06449601474944507,0.06155308063018576,0.998252788774966,0.9999999999999998,0.06460890014495081,0.06155308063012421,0.9958256900220598,0.9962112182649414,-0.8849118600103624,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,23,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.007051705337878468,0.022290715543953944,0.030371766679772115,0.06171378987054451,0.05664973288625827,0.998252788774966,0.9999999999999998,0.06182180562321945,0.05664973288620163,0.9961780643494849,0.996790807763922,-0.8717417540124309,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,24,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.0049935580425806295,0.02026913949764723,0.030371766679772115,0.058012321156315584,0.05238331261080249,0.998252788774966,0.9999999999999998,0.05811385834188244,0.05238331261075012,0.9966227794686197,0.9972559885599245,-0.8534395581761294,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,25,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.0026292886160209613,0.020678941815796204,0.030371766679772115,0.05350278599450405,0.04465575920903849,0.998252788774966,0.9999999999999998,0.05359643027905577,0.04465575920899384,0.9971274226613424,0.9980058631694684,-0.8233359140468367,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,26,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.0014448640265721279,0.020702731277310975,0.030371766679772115,0.05157982763354267,0.04087575073678775,0.998252788774966,0.9999999999999998,0.05167010622308267,0.04087575073674688,0.9973302001228953,0.9983291730017073,-0.8084138030561467,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,27,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.0012525387890464006,0.02093533532210248,0.030371766679772115,0.0492479896544356,0.03748960588696138,0.998252788774966,0.9999999999999998,0.04933418689951503,0.0374896058869239,0.9975661380029637,0.9985945294504431,-0.7876320649500269,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,28,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.0008546449083375859,0.020701816874160426,0.030371766679772115,0.045607142351035274,0.033213933990628094,0.998252788774966,0.9999999999999998,0.04568696713280178,0.033213933990594885,0.9979127010342063,0.9988968345888684,-0.7462185285646074,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,29,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.000751865160047046,0.020745173090051715,0.030371766679772115,0.04437805256395822,0.031297480174688495,0.998252788774966,0.9999999999999998,0.044455726107585976,0.0312974801746572,0.9980236884162473,0.999020467734717,-0.7295228749361367,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
rbf_elbow_scratch_nctx47_ntgt64,15,raw,30,23,17.0,28,0.05,3.0,1.0,0.020743796944752903,0.0007556380368655745,0.020708334055866175,0.030371766679772115,0.04398647269788876,0.03034826037881683,0.998252788774966,0.9999999999999998,0.04406346087129286,0.030348260378786487,0.998058411416044,0.9990789830919814,-0.7241605196388619,0.0624120336613159,4.625578492937279,59.37442150706248,0.07227466395214499,0.9277253360478512,0.07790523891482458
