selection_rank,bank_index,name,replicate,state_idx,basis_layer,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
36,37,base,base,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,220083.0226284998,26760652.896573216,1.0,28265.72982772508,0.0,1500339.2128797835,1500339.1899196838,0.0
36,37,keep_Q,keep_Q,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,28101.848631717545,3417000.584615064,7.831620813020109,10100.920373800494,0.8092626238782291,32220.298802033118,32220.258249113413,1503360.1780814556
36,37,remove_Q,remove_Q,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,0.07864809533840199,9.56309285101134,2798326.1601128504,15.345083199844275,1.0000143137154667,73.91437637254808,74.00741446587844,1500338.2067298933
36,37,zero_context,zero_context,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,0.008400809390622863,1.021483354180447,26197835.51739199,0.8749106060363154,1.0000017164458792,,,
36,37,keep_response_svd,keep_response_svd,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,28101.790850681264,3416993.5588198095,7.831636915878776,10100.909989203541,0.8092627613278061,,,
36,37,keep_krr_oracle,keep_krr_oracle,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,52.46166085833132,6378.994071602439,4195.121142329387,435.91848998102444,0.9986513042225168,,,
36,37,keep_random_A,keep_random_A_00,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,230.58405128848835,28037.509146867782,954.4589983508855,915.4181157797168,0.9896045150253906,,,
36,37,keep_random_A,keep_random_A_01,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,359.7316459985882,43741.010094772115,611.7977805860414,1143.1635491226118,0.9998725144587369,,,
36,37,keep_random_A,keep_random_A_02,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,0.009710455204970905,1.180727700412356,22664542.287969828,2.678473701003651,0.9999880047976365,,,
36,37,keep_random_A,keep_random_A_03,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,1.1755445353853293,142.93850975053132,187217.93688263732,65.50119816259948,0.9992025261480153,,,
36,37,keep_random_A,keep_random_A_04,1,8,47,40,3,22,22,,22,0.08657201897776853,0.08657201897776853,0.0,0.008224127545732717,220083.0226284998,67.24607683724273,8176.682142063196,3272.800927274493,494.50022178921955,0.9959325745246704,,,
37,68,base,base,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,119370.56189673269,23882151.16981343,1.0,22526.83332223358,0.0,20755.143569121243,20755.153231948552,0.0
37,68,keep_Q,keep_Q,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.006118534813268029,1.2241190041029106,19509664.57490409,1.331737843748652,0.9999960390381275,1.2299063777182164,0.9020761187982901,20755.139921792023
37,68,remove_Q,remove_Q,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,93131.83555967447,18632638.90373989,1.2817374550751304,19897.3867909743,0.33022555675996584,18563.453547108937,18563.442009397662,12867.482336498284
37,68,zero_context,zero_context,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.004714047407132922,0.9431269402602768,25322308.323864255,1.0131937890692322,1.0000011245070137,,,
37,68,keep_response_svd,keep_response_svd,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,409.27825143627604,81883.21237671575,291.6611412353986,1319.9340159609756,0.9680504668330335,,,
37,68,keep_krr_oracle,keep_krr_oracle,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.004198296604045237,0.8399420473555388,28433093.979523525,1.4397006501225704,1.0000264911289791,,,
37,68,keep_random_A,keep_random_A_00,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.004561458191123849,0.912598821218963,26169386.38811074,1.2525645042429445,1.000004325959444,,,
37,68,keep_random_A,keep_random_A_01,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.005448338670585404,1.0900346424424634,21909534.100953158,0.9954644936042344,1.0000141193586585,,,
37,68,keep_random_A,keep_random_A_02,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.004774528001971564,0.9552271321821867,25001541.900569137,1.5316806928157771,1.0000094677728653,,,
37,68,keep_random_A,keep_random_A_03,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.006002894916259506,1.2009832371454896,19885499.17364109,1.3576598341074044,0.9999826963656347,,,
37,68,keep_random_A,keep_random_A_04,1,8,47,40,1,1,27,1,27,0.04885377187745254,0.02121883821607247,1.0,0.0049983169877768265,119370.56189673269,0.005068963385974593,1.0141340371910244,23549304.425244275,1.4740971109303795,1.0000050495160406,,,
38,78,base,base,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,12980.998819795224,19150433.353029,1.0,17336.68288490832,0.0,4409224.199870151,4409224.201691752,0.0
38,78,keep_Q,keep_Q,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,1.1637014478317116,1.5722172196851623,4409224.1168535305
38,78,remove_Q,remove_Q,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,12980.998819795224,19150433.353029,1.0,17336.68288490832,0.0,4409224.199870151,4409224.201691752,0.0
38,78,zero_context,zero_context,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
38,78,keep_response_svd,keep_response_svd,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
38,78,keep_krr_oracle,keep_krr_oracle,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
38,78,keep_random_A,keep_random_A_00,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
38,78,keep_random_A,keep_random_A_01,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
38,78,keep_random_A,keep_random_A_02,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
38,78,keep_random_A,keep_random_A_03,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
38,78,keep_random_A,keep_random_A_04,1,8,47,40,0,0,46,0,40,0.04781553089260586,0.0007043537191538817,1.0,0.0006778436070086129,12980.998819795224,0.0007846220796129727,1.1575267089640089,16544269.090921208,1.0600942969246576,0.9999919858505184,,,
39,42,base,base,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,43621.01999049441,13612711.429284057,1.0,4465.8242045000925,0.0,17139.441391534318,17139.426031067105,0.0
39,42,keep_Q,keep_Q,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,46501.78475023247,14511705.065345537,0.9380504474137702,4610.922133232509,0.7953760321382133,7710.466387664815,7710.511959487631,16597.060170882854
39,42,remove_Q,remove_Q,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,0.0032422084372471334,1.011788533588919,13454107.234244252,0.4507840143897109,1.0001143483136794,0.9827349805311462,1.2739804457975905,17139.516739781582
39,42,zero_context,zero_context,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,0.004681110915051539,1.4608235219844568,9318518.783700757,0.7686167561611015,1.000032350043157,,,
39,42,keep_response_svd,keep_response_svd,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,46501.75077832672,14511694.463811006,0.9380511327075679,4610.920448767894,0.7953756478856973,,,
39,42,keep_krr_oracle,keep_krr_oracle,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,21106.628904062825,6586697.160648781,2.0666976327090194,3106.3862722402405,0.7495860767227452,,,
39,42,keep_random_A,keep_random_A_00,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,10444.412374888632,3259363.7594623994,4.176493461266607,2184.9920606384,0.6736244902288684,,,
39,42,keep_random_A,keep_random_A_01,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,928.3250265015935,289700.2569197703,46.988951870532745,651.4519312651315,0.9104773186036793,,,
39,42,keep_random_A,keep_random_A_02,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,228.02574344073133,71159.46955350999,191.2986636170421,322.7921257153389,1.005119081864141,,,
39,42,keep_random_A,keep_random_A_03,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,1997.2961191568443,623291.6083767831,21.840036423296592,955.5230683046117,0.9004814449012808,,,
39,42,keep_random_A,keep_random_A_04,1,8,47,40,2,36,36,,36,0.08836948993983017,0.08836948993983017,0.0,0.003204432872693945,43621.01999049441,380.1686219029349,118638.34787817842,114.74124237857743,416.9491558236428,0.9549195012371483,,,
40,23,base,base,1,8,47,40,3,29,29,,29,0.07357255252669796,0.07357255252669796,0.0,0.006675875076989265,48553.654524044454,48553.654524044454,7273002.260243243,1.0,3957.85251737017,0.0,18574.784793548424,18574.773048141386,0.0
40,23,keep_Q,keep_Q,1,8,47,40,3,29,29,,29,0.07357255252669796,0.07357255252669796,0.0,0.006675875076989265,48553.654524044454,20629.134869297483,3090101.991333391,2.3536447277925974,2579.7513649428893,0.43979566648780144,122905.73489483459,122905.74599387187,125149.10844416749
40,23,remove_Q,remove_Q,1,8,47,40,3,29,29,,29,0.07357255252669796,0.07357255252669796,0.0,0.006675875076989265,48553.654524044454,0.009443077690546758,1.4145078482812872,5141719.269412595,0.6512940560216639,1.000103768941652,2.370695136216298,2.8354295202989066,18574.92337697294
40,23,zero_context,zero_context,1,8,47,40,3,29,29,,29,0.07357255252669796,0.07357255252669796,0.0,0.006675875076989265,48553.654524044454,0.01029224911608078,1.5417078656184882,4717497.019012435,0.8778136352034448,1.0000171058349894,,,
40,23,keep_response_svd,keep_response_svd,1,8,47,40,3,29,29,,29,0.07357255252669796,0.07357255252669796,0.0,0.006675875076989265,48553.654524044454,20629.14430229613,3090103.404331468,2.3536436515517605,2579.7519543665867,0.43979537178143413,,,
40,23,keep_krr_oracle,keep_krr_oracle,1,8,47,40,3,29,29,,29,0.07357255252669796,0.07357255252669796,0.0,0.006675875076989265,48553.654524044454,12927.105974206472,1936391.2333776671,3.7559570271121654,2042.2906362640028,0.5744948294643569,,,
