selection_rank,bank_index,name,replicate,state_idx,basis_layer,sampling_mode,profile,tau_actual,log10_lambda1,gamma,n_ctx,n_tgt,r_T,rank_Q,candidate_dim,rank_to_alpha,best_rank,rho_TQ,best_rho,reach_alpha,krr_mse,base_mse,mse,mse_ratio,mse_repair_factor,point_err,point_drift,E_F_T,E_F_TQ,damage_vs_base
5,185,keep_response_svd,keep_response_svd,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,0.32247465236871964,16.27324874856262,0.9423139848753861,0.03806532830512083,0.009030222463039495,,,
5,185,keep_krr_oracle,keep_krr_oracle,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,213593684929332.7,1.0778717460257362e+16,1.4226655380537538e-15,1157174.6208155984,1171729.8757953767,,,
5,185,keep_random_A,keep_random_A_00,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,282485921811168.9,1.4255271351820742e+16,1.0757080308518886e-15,1330770.2980009029,1347509.0960770324,,,
5,185,keep_random_A,keep_random_A_01,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,3.0487889982682308e+16,1.5385302809465887e+18,9.966986067828185e-18,13825103.10201101,13998999.06567614,,,
5,185,keep_random_A,keep_random_A_02,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,2288799250323095.5,1.1550116966540312e+17,1.3276497475782434e-16,3787987.5743823964,3835633.93793702,,,
5,185,keep_random_A,keep_random_A_03,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,21433536299458.05,1081614524429705.2,1.417742599491417e-14,366565.51750075346,371176.26760631823,,,
5,185,keep_random_A,keep_random_A_04,1,8,train_distribution,minimal_step,13.473682403564453,0.7055883407592773,8,108,8,8,18,51,,18,0.33431171576288615,0.33431171576288615,0.0,0.019816243047179077,0.30387237469487305,2352481054292257.5,1.187147860818725e+17,1.291710188868207e-16,3840323.066412145,3888627.7014853703,,,
6,143,base,base,1,8,train_distribution,minimal_step,8.992897987365723,1.9402694702148438,8,72,8,8,8,10,8,8,0.005037340766746423,0.005037340766746423,1.0,0.009212946715558005,0.1214795586300852,0.1214795586300852,13.18574419028619,1.0,0.01643917092923291,0.0,0.018461052006732044,0.018380611395505477,0.0
6,143,keep_Q,keep_Q,1,8,train_distribution,minimal_step,8.992897987365723,1.9402694702148438,8,72,8,8,8,10,8,8,0.005037340766746423,0.005037340766746423,1.0,0.009212946715558005,0.1214795586300852,1.0865553027791748,117.93786899302226,0.11180246262603165,0.04416905951846726,0.04570035309570927,0.08059152556712101,0.08056951916179325,0.08668204781931121
6,143,remove_Q,remove_Q,1,8,train_distribution,minimal_step,8.992897987365723,1.9402694702148438,8,72,8,8,8,10,8,8,0.005037340766746423,0.005037340766746423,1.0,0.009212946715558005,0.1214795586300852,68.37976873757478,7422.13874113709,0.00177654240242161,0.359031092111676,0.3646597388711774,0.461618170900346,0.46172463075533937,0.46743250692554955
6,143,zero_context,zero_context,1,8,train_distribution,minimal_step,8.992897987365723,1.9402694702148438,8,72,8,8,8,10,8,8,0.005037340766746423,0.005037340766746423,1.0,0.009212946715558005,0.1214795586300852,398.62202775839836,43267.592884830316,0.00030474873481832015,0.8661436183326694,0.8662463069855203,,,
6,143,keep_response_svd,keep_response_svd,1,8,train_distribution,minimal_step,8.992897987365723,1.9402694702148438,8,72,8,8,8,10,8,8,0.005037340766746423,0.005037340766746423,1.0,0.009212946715558005,0.1214795586300852,3.252313537280912,353.0155592660375,0.037351736613822246,0.08144228537272141,0.06949871626009357,,,
