checkpoint,ell,n,candidate_rank_mean,candidate_rank_std,d_x_mean,d_x_std,ell_mean,ell_std,entropy_rank_mean,entropy_rank_std,gamma_mean,gamma_std,min_explainable_frac_mean,min_explainable_frac_std,n_heads_mean,n_heads_std,n_layers_mean,n_layers_std,participation_rank_mean,participation_rank_std,s_mean,s_std,val_capture_mean,val_capture_std,val_explainable_frac_mean,val_explainable_frac_std,val_full_resid_ratio_mean,val_full_resid_ratio_std,val_resid_ratio_mean,val_resid_ratio_std,val_total_norm_mean,val_total_norm_std
H8,2.0,4,7.75,3.8622100754188224,5.0,0.0,2.0,0.0,4.908645283503458,0.9821753292794562,0.95,0.0,0.001,0.0,8.0,0.0,8.0,0.0,3.8437588862131014,0.710535975921549,7.5,3.415650255319866,0.9888552849346226,0.02228943012797896,0.9999999999988554,6.847091754963418e-13,1.2354988383301267e-10,2.3237448047664282e-11,0.05278426637482476,0.10556853248011921,1.0524282072735605,0.36302371054885024
H8,3.0,4,25.0,25.45584412271571,5.0,0.0,3.0,0.0,5.137710061846634,3.4309955003555217,0.95,0.0,0.001,0.0,8.0,0.0,8.0,0.0,1.096439350321752,1.597355752466096,1.5,2.3804761428476167,0.4999999999985869,0.577350269187994,0.4999999999985869,0.577350269187994,2.942179511417358e-11,3.511296438516049e-11,2.942179511417358e-11,3.511296438516049e-11,0.369285515668636,0.48245117343651045
H8,4.0,4,3.25,1.707825127659933,5.0,0.0,4.0,0.0,2.1835573284270957,1.2355993646961354,0.95,0.0,0.001,0.0,8.0,0.0,8.0,0.0,1.950655750463956,1.0431296362534406,3.25,1.707825127659933,0.9999999999974678,1.7965011142728683e-12,0.9999999999974678,1.7965011142728683e-12,4.8886650402030286e-11,5.7776219947045347e-11,4.8886650402030286e-11,5.7776219947045347e-11,0.6962628895588776,0.17307853653649105
H8,5.0,4,31.75,19.83893478323202,5.0,0.0,5.0,0.0,1.6075601937743924,0.28928725565462676,0.95,0.0,0.001,0.0,8.0,0.0,8.0,0.0,1.3434659438296492,0.41037797987957064,3.5,2.6457513110645907,0.968606560492247,0.021860527551142,0.9998830817983854,0.00023383640003773096,0.005406435991739806,0.010812871976448254,0.15330534823186756,0.10330447059273297,12.603740945833533,8.29073169544343
H8,6.0,4,41.25,1.5,5.0,0.0,6.0,0.0,1.6150016725172707,0.21781998094857807,0.95,0.0,0.001,0.0,8.0,0.0,8.0,0.0,1.1819083743572012,0.06665899159141267,9.5,5.259911279353167,0.9522910658759262,0.001808811378574189,0.998954199324467,0.002091601351057515,0.01616942079687103,0.032338841591734155,0.22060733875830937,0.006960853552702256,14.490762289264929,2.8158768410759567
H8,7.0,4,42.0,0.0,5.0,0.0,7.0,0.0,2.431656841225101,0.550448509916336,0.95,0.0,0.001,0.0,8.0,0.0,8.0,0.0,1.4701694355753423,0.19935781286281468,26.0,5.597618541248888,0.953284979234434,0.0014062124085678618,0.9999999999999936,2.6350748426115177e-15,1.1849110261192487e-12,8.584470428904508e-13,0.21611815250882224,0.003258818136044061,12.865337380839392,2.4353246174605396
H8,8.0,4,42.0,0.0,5.0,0.0,8.0,0.0,2.4803095279223535,0.5748978155260533,0.95,0.0,0.001,0.0,8.0,0.0,8.0,0.0,1.4871951452001313,0.20949172087042026,26.25,5.377421934967226,0.9537567680448563,0.0010496436066991988,0.9999999999999932,2.6599053072808717e-15,1.2415035488325157e-12,1.1808608777818631e-12,0.2150319724545652,0.002444797861086022,12.7065077715367,2.422205997392779
L12,0.0,4,5.5,1.0,5.0,0.0,0.0,0.0,3.143332189759595,0.21463132149322758,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,2.6059025886951743,0.26022440166633004,4.75,0.5,0.9883029256077773,0.023393644383551716,0.9999951628766843,7.062202390654166e-06,0.0018321312836862978,0.0014049523242176212,0.05570375686846529,0.10707625441431627,6284.319593728433,2909.930383042466
L12,1.0,4,36.0,12.0,5.0,0.0,1.0,0.0,4.181850431071301,2.2540264273161528,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,2.4671736232631707,1.0914005724540738,24.5,15.88500340992514,0.9649642255885078,0.023344810642317457,0.9999968041245856,6.391750809224088e-06,0.0008938505963341535,0.0017877011377851052,0.16457894347314672,0.1029740508419962,322.8550379622263,624.4920172011136
L12,10.0,4,42.0,0.0,5.0,0.0,10.0,0.0,2.583671834750751,0.8379472528744399,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.4853957379008988,0.26871279206314475,21.5,4.795831523312719,0.9520629575948893,0.0021638932667306914,0.9999999999999966,1.596046158410271e-15,8.990258059046479e-13,3.177754256078115e-13,0.2189027866110246,0.004981622096671461,18.548203346880836,4.546797377636031
L12,11.0,4,42.0,0.0,5.0,0.0,11.0,0.0,3.157967964695212,1.1125572780654487,0.95,0.0,0.001,0.0,4.0,0.0,12.0,0.0,1.6815502862732825,0.37340434024143354,25.0,4.898979485566356,0.9516255012421652,0.0012949000821138256,0.999999999999996,1.791328020773523e-15,9.702821394347627e-13,3.3238368835746166e-13,0.21992728558685576,0.0029411590070180693,16.963636460369937,3.935693269834275
