exp,checkpoint,checkpoint_file,episode,d_x,n_layers,n_heads,gamma,min_explainable_frac,ell,s,candidate_rank,participation_rank,entropy_rank,val_total_norm,val_explainable_frac,val_capture,val_resid_ratio,val_full_resid_ratio,top_singular_values_json
2a,L6,model_L6.pt,1,5,6,4,0.95,0.001,6.0,35.0,42.0,1.9705311021221048,3.6388232699391634,9.876941472697608,0.9999999999999898,0.9552689272726014,0.21149721683130607,5.312166230817212e-13,"[5.750786949552311, 1.6173643093561534, 1.5514807765826089, 1.4514599192312192, 1.2485059306204624, 1.108905193626299, 0.9674994703448171, 0.9200377418104411]"
2a,L6,model_L6.pt,2,5,6,4,0.95,0.001,0.0,5.0,5.0,2.688125312522281,3.4137360652655104,2763.8312865526514,0.9999975483407672,1.0,0.0015657775170272758,0.0015657775170272758,"[1501.2948924851937, 966.8106729225286, 675.2374201251431, 562.9030689980087, 385.5137100546864, 0.8948003798045309, 0.8101489366865002, 0.7718384626686182]"
2a,L6,model_L6.pt,2,5,6,4,0.95,0.001,1.0,27.0,42.0,2.729056612820433,4.949739765230769,7.400386259983036,0.9999999999999817,0.9514723423398209,0.22028993998855426,8.35723189760811e-12,"[3.6916947183598294, 1.7515624980727462, 1.5444077672861292, 0.9480029812517848, 0.8274208278049208, 0.7521061693759697, 0.6769629954520621, 0.6409916698451692]"
2a,L6,model_L6.pt,2,5,6,4,0.95,0.001,2.0,10.0,10.0,4.971641899402399,6.3872784235460385,1.2469521154368746,0.9999999999993568,0.9999999999993568,4.19946707244575e-11,4.19946707244575e-11,"[0.15285430346447978, 0.12920528343123056, 0.10085954407783337, 0.08480176308691777, 0.06578613732223836, 0.056280711261499194, 0.04977477211557299, 0.041506674164047394]"
2a,L6,model_L6.pt,2,5,6,4,0.95,0.001,3.0,1.0,1.0,0.99999999663895,1.0,0.37634244445370146,0.9999999999929395,0.9999999999929395,5.0531270773136834e-11,5.0531270773136834e-11,"[0.1313352354296096, 6.893617579374534e-12, 5.7149567951367005e-12, 3.5764018536363573e-12, 2.5801494522186468e-12, 2.0485669132867997e-12, 1.6468070397922007e-12, 1.4689264237643964e-12]"
2a,L6,model_L6.pt,2,5,6,4,0.95,0.001,4.0,4.0,4.0,3.0193885293719043,3.4242527148940445,0.7476499206984173,0.9999999999982111,0.9999999999982111,1.8033613003086876e-11,1.8033613003086876e-11,"[0.3298704241899607, 0.2267025040417172, 0.21163381698699965, 0.14534167073933657, 6.075230104012002e-12, 4.6330991940940484e-12, 3.3204766166526055e-12, 2.39882795829367e-12]"
2a,L6,model_L6.pt,2,5,6,4,0.95,0.001,5.0,32.0,42.0,2.211729906876236,4.438906333167186,10.81642976282378,0.9999999999999915,0.9512969218867067,0.22068773892829852,1.0471167498081771e-12,"[6.453766852588887, 1.8926065240319634, 1.7104049718367935, 1.6316074252240789, 1.4926248426754047, 1.4399260448148032, 1.3551623801772685, 1.2057545720910918]"
2a,L6,model_L6.pt,2,5,6,4,0.95,0.001,6.0,32.0,42.0,2.2553588142685004,4.541999672192452,10.724074750058902,0.9999999999999913,0.9501047260891053,0.22337250034613945,9.97983199052999e-13,"[6.343193051967962, 1.8938232629734297, 1.7095741379668248, 1.62851543433317, 1.4915083918700758, 1.4247092115354643, 1.3438487065568352, 1.2065523449364728]"
2a,L6,model_L6.pt,3,5,6,4,0.95,0.001,0.0,5.0,6.0,2.5150787020096037,3.004906080488133,1171.4792964983576,0.9999873165945242,0.999999729605187,0.0035991383495462305,0.0035613769072782805,"[788.7760370520358, 640.1071487715891, 312.0470674411655, 220.545499911878, 127.86649636991291, 0.855534735411528, 0.7467236284731122, 0.5752688272749801]"
2a,L6,model_L6.pt,3,5,6,4,0.95,0.001,1.0,33.0,42.0,1.8879181225306467,3.1301461956277197,5.940426113564114,0.9999999999999716,0.9542956332824235,0.21378579634191822,9.654976993365647e-12,"[3.4783490094858274, 1.310331291125787, 1.0355353824153606, 0.7384099084737827, 0.7007788999153736, 0.5294002844146137, 0.4812480063334508, 0.44359539859216635]"
